ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-14,311.07189287816993,110.22172150355033,284.9952219779166,311.07189287816993,311.07189287816993,-117.47192969433664,-117.47192969433664,-117.47192969433664,-2.774050819493194,-2.774050819493194,-2.774050819493194,-114.69787887484347,-114.69787887484347,-114.69787887484347,0.0,0.0,0.0,193.5999631838333
2024-01-15,311.07244208093687,114.40705073896471,301.0749228161393,311.07244208093687,311.07244208093687,-108.64645913307146,-108.64645913307146,-108.64645913307146,5.971834002908367,5.971834002908367,5.971834002908367,-114.61829313597984,-114.61829313597984,-114.61829313597984,0.0,0.0,0.0,202.4259829478654
2024-01-16,311.07299128370374,111.3529089532209,290.1815445457983,311.07299128370374,311.07299128370374,-111.69394722008046,-111.69394722008046,-111.69394722008046,3.467118582449218,3.467118582449218,3.467118582449218,-115.16106580252968,-115.16106580252968,-115.16106580252968,0.0,0.0,0.0,199.37904406362327
2024-01-17,311.07354048647073,95.44261052929146,282.9289699570892,311.07354048647073,311.07354048647073,-120.0107380846215,-120.0107380846215,-120.0107380846215,-3.715939342038078,-3.715939342038078,-3.715939342038078,-116.29479874258341,-116.29479874258341,-116.29479874258341,0.0,0.0,0.0,191.06280240184924
2024-01-18,311.07408968923767,104.05875400349456,290.8722071925235,311.07408968923767,311.07408968923767,-117.32313279665728,-117.32313279665728,-117.32313279665728,0.6449125818810686,0.6449125818810686,0.6449125818810686,-117.96804537853836,-117.96804537853836,-117.96804537853836,0.0,0.0,0.0,193.7509568925804
2024-01-19,311.07463889200454,89.0515967841707,273.5824137133615,311.07463889200454,311.07463889200454,-126.0987810255324,-126.0987810255324,-126.0987810255324,-5.9876363466943525,-5.9876363466943525,-5.9876363466943525,-120.11114467883804,-120.11114467883804,-120.11114467883804,0.0,0.0,0.0,184.97585786647215
2024-01-20,311.0751880947715,102.61096535545725,274.6831572221609,311.0751880947715,311.0751880947715,-120.24487793991742,-120.24487793991742,-120.24487793991742,2.393761340996203,2.393761340996203,2.393761340996203,-122.63863928091361,-122.63863928091361,-122.63863928091361,0.0,0.0,0.0,190.83031015485406
2024-01-21,311.07573729753835,85.18334038510248,278.8510379747131,311.07573729753835,311.07573729753835,-128.2262513359607,-128.2262513359607,-128.2262513359607,-2.7740508194644753,-2.7740508194644753,-2.7740508194644753,-125.45220051649625,-125.45220051649625,-125.45220051649625,0.0,0.0,0.0,182.84948596157764
2024-01-22,311.0762865003053,99.37462389977031,272.5026334425916,311.0762865003053,311.0762865003053,-122.47213348376842,-122.47213348376842,-122.47213348376842,5.971834002903445,5.971834002903445,5.971834002903445,-128.44396748667185,-128.44396748667185,-128.44396748667185,0.0,0.0,0.0,188.60415301653688
2024-01-23,311.0768357030722,83.68822005019034,273.0046311701342,311.0768357030722,311.0768357030722,-128.03307600217107,-128.03307600217107,-128.03307600217107,3.467118582421918,3.467118582421918,3.467118582421918,-131.50019458459298,-131.50019458459298,-131.50019458459298,0.0,0.0,0.0,183.04375970090115
2024-01-24,311.07738490583915,84.24372979636948,261.4233995689379,311.07738490583915,311.07738490583915,-138.2210317190173,-138.2210317190173,-138.2210317190173,-3.715939342031692,-3.715939342031692,-3.715939342031692,-134.5050923769856,-134.5050923769856,-134.5050923769856,0.0,0.0,0.0,172.85635318682185
2024-01-25,311.0779341086061,85.08548254781005,265.7243015248603,311.0779341086061,311.0779341086061,-136.69982823180413,-136.69982823180413,-136.69982823180413,0.6449125818678152,0.6449125818678152,0.6449125818678152,-137.34474081367193,-137.34474081367193,-137.34474081367193,0.0,0.0,0.0,174.37810587680195
2024-01-26,311.07848331137296,76.2825190416605,255.76802433416168,311.07848331137296,311.07848331137296,-145.8985878636379,-145.8985878636379,-145.8985878636379,-5.9876363466951315,-5.9876363466951315,-5.9876363466951315,-139.9109515169428,-139.9109515169428,-139.9109515169428,0.0,0.0,0.0,165.17989544773505
2024-01-27,311.0790325141399,81.43817432232382,258.5832287543779,311.0790325141399,311.0790325141399,-139.711196131393,-139.711196131393,-139.711196131393,2.3937613409944323,2.3937613409944323,2.3937613409944323,-142.1049574723874,-142.1049574723874,-142.1049574723874,0.0,0.0,0.0,171.3678363827469
2024-01-28,311.07958171690683,73.08858412936365,253.19479872679958,311.07958171690683,311.07958171690683,-146.6148645708644,-146.6148645708644,-146.6148645708644,-2.774050819477712,-2.774050819477712,-2.774050819477712,-143.8408137513867,-143.8408137513867,-143.8408137513867,0.0,0.0,0.0,164.46471714604243
2024-01-29,311.08013091967376,80.53099614035825,263.8284248794014,311.08013091967376,311.08013091967376,-139.07656777333074,-139.07656777333074,-139.07656777333074,5.971834002889271,5.971834002889271,5.971834002889271,-145.04840177622,-145.04840177622,-145.04840177622,0.0,0.0,0.0,172.00356314634303
2024-01-30,311.08068012244064,85.01114048231412,256.58283073087443,311.08068012244064,311.08068012244064,-142.20882323919264,-142.20882323919264,-142.20882323919264,3.4671185823946193,3.4671185823946193,3.4671185823946193,-145.67594182158726,-145.67594182158726,-145.67594182158726,0.0,0.0,0.0,168.871856883248
2024-01-31,311.0812293252076,69.85881054615469,254.40729289492162,311.0812293252076,311.0812293252076,-149.40787290001035,-149.40787290001035,-149.40787290001035,-3.7159393420407203,-3.7159393420407203,-3.7159393420407203,-145.6919335579696,-145.6919335579696,-145.6919335579696,0.0,0.0,0.0,161.67335642519723
2024-02-01,311.08177852797445,71.90366392576911,253.389060715615,311.08177852797445,311.08177852797445,-144.44154944000363,-144.44154944000363,-144.44154944000363,0.6449125819049504,0.6449125819049504,0.6449125819049504,-145.08646202190857,-145.08646202190857,-145.08646202190857,0.0,0.0,0.0,166.64022908797082
2024-02-02,311.08232773074144,69.2038463580584,253.050440987027,311.08232773074144,311.08232773074144,-149.8594622568784,-149.8594622568784,-149.8594622568784,-5.987636346695911,-5.987636346695911,-5.987636346695911,-143.87182591018248,-143.87182591018248,-143.87182591018248,0.0,0.0,0.0,161.22286547386304
2024-02-03,311.0828769335083,79.81665098532564,265.14246551297146,311.0828769335083,311.0828769335083,-139.688704603335,-139.688704603335,-139.688704603335,2.3937613410014618,2.3937613410014618,2.3937613410014618,-142.08246594433646,-142.08246594433646,-142.08246594433646,0.0,0.0,0.0,171.39417233017332
2024-02-04,311.0834261526888,75.50360377230899,262.81111368702386,311.0834261526888,311.0834261526888,-142.54824342458542,-142.54824342458542,-142.54824342458542,-2.7740508194863045,-2.7740508194863045,-2.7740508194863045,-139.7741926050991,-139.7741926050991,-139.7741926050991,0.0,0.0,0.0,168.53518272810336
2024-02-05,311.08397537186926,88.17609050755634,268.8604669267392,311.08397537186926,311.08397537186926,-131.05090013174853,-131.05090013174853,-131.05090013174853,5.971834002913352,5.971834002913352,5.971834002913352,-137.02273413466187,-137.02273413466187,-137.02273413466187,0.0,0.0,0.0,180.03307524012072
